date,away,home,actual_winner,v3_picked,v3_pick_prob,v3_home_prob,v3_away_prob,v3_correct,v3_picked_was_dog,v4_picked,v4_pick_prob,v4_home_prob,v4_away_prob,v4_correct,v4_picked_was_dog,disagreement
2025-03-30,MIN,STL,STL,STL,0.5386,0.5386,0.509,1,0,STL,0.5313,0.5313,0.5163,1,0,0
2025-03-30,BOS,TEX,TEX,TEX,0.5302,0.5302,0.5174,1,0,BOS,0.54,0.5076,0.54,0,1,1
2025-03-30,CHC,ARI,ARI,CHC,0.5288,0.5188,0.5288,0,0,CHC,0.5507,0.4968,0.5507,0,0,0
2025-03-30,OAK,SEA,SEA,SEA,0.5412,0.5412,0.5064,1,0,SEA,0.5567,0.5567,0.4907,1,0,0
2025-03-30,ATL,SDP,SDP,SDP,0.541,0.541,0.5065,1,0,SDP,0.5374,0.5374,0.5102,1,0,0
2025-03-31,MIN,CHW,CHW,MIN,0.532,0.5156,0.532,0,0,MIN,0.5319,0.5157,0.5319,0,0,0
2025-03-31,KCR,MIL,KCR,KCR,0.5387,0.5088,0.5387,1,0,KCR,0.5684,0.4788,0.5684,1,0,0
2025-03-31,BOS,BAL,BAL,BOS,0.5372,0.5104,0.5372,0,0,BOS,0.5577,0.4897,0.5577,0,0,0
2025-03-31,COL,PHI,PHI,PHI,0.5575,0.5575,0.4899,1,0,PHI,0.559,0.559,0.4884,1,0,0
2025-03-31,TEX,CIN,CIN,CIN,0.5258,0.5258,0.5219,1,0,CIN,0.5548,0.5548,0.4926,1,0,0
2025-03-31,NYM,MIA,NYM,MIA,0.537,0.537,0.5106,0,0,MIA,0.5483,0.5483,0.4992,0,0,0
2025-03-31,PIT,TBR,TBR,TBR,0.5259,0.5259,0.5218,1,0,PIT,0.5516,0.4959,0.5516,0,1,1
2025-03-31,WAS,TOR,TOR,TOR,0.533,0.533,0.5146,1,0,TOR,0.5342,0.5342,0.5134,1,0,0
2025-03-31,LAA,STL,LAA,STL,0.5516,0.5516,0.4959,0,0,STL,0.5536,0.5536,0.4938,0,0,0
2025-03-31,SFG,HOU,SFG,SFG,0.5277,0.5149,0.5277,1,0,SFG,0.5372,0.5054,0.5372,1,0,0
